question,answer
those shopping carts are dangerous.,especially the metal ones.
Maybe you should take a theater class instead.,I desperately need to take an English class this semester.
where did you lose it?,i don't know.
where do you go to watch people?,my girlfriend and i sit outside starbucks.
what about the unfriendly dogs?,"i think if you are friendly to dogs, they are friendly to you."
what's the matter with yours?,it's six years old.
that sounds great.,we'll go to a french restaurant.
Hi. How can I help you today?,"Well, my window facing the empty lot is broken."
someone stole his laptop.,he was asking for it.
are you really?,i'm serious. you deserved this promotion.
without the peanut butter!,that's no good!
Why do not you come with us?,Nice but my parents would not allow me to go with you.
what else do they talk about?,they talk about food and the weather.
i think it was about 45 minutes long.,but it went by fast. it was interesting.
"You should do what you love,not necessarily what you're good at.",That is very cheesy advice.
Where are you transferring the money to?,I would like it transferred to my checking account.
high school.,i teach high school english.
I need $50.,"Wow, you must have kept those books long past the due date."
What's your address?,"I live at 45 NW 75th Avenue, Phoenix, Arizona."
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
What kind would you like to open?,I would like to open a savings account.
i don't know. it's not my mud.,"well, someone brought it into the house."
i'm going to the movies with a friend. how about you?,i'm not sure yet.
i'm going to pcc.,how do you like it so far?
Something's wrong with my computer.,Exactly what?
then we'll just make a u-turn.,and then we can turn right at the light.
See you later,Bye
"if we are good, we will be happy in heaven with god.",that's what many people believe.
what are you talking about?,i got a ticket downtown for $140.
all the tv stations are going to go digital.,"yes, that will occur next month."
i think it's five miles deep.,are there fish at the bottom?
what did you do?,i watered all the plants.
Are you serious?,no
that trip must have cost a lot of money. ,he said all the money came from private donations.
what about that new game show?,which one?
"hi, how are you doing?",i'm fine. how about yourself?
what's the point?,how can it be fun?
where are you going?,i have to walk the dog.
that means we have to leave the house at 9:15.,"well, it's an hour to get there, if there are no traffic problems."
the husband said a fire department was nearby.,so what? did he dial 911?
look how many cars are waiting in line.,they need a left-turn arrow.
i sure hope not.,maybe they towed it away.
Why don't you borrow them for me?,I don't know about that. 
how many cars?,eleven cars.
i can add two and two.,so you're not very good at math?
are you going to buy a desktop or laptop?,"oh, a laptop, of course."
Which account are you making this withdrawal from?,I want it taken from my checking account.
that's not nice.,it's worse than that.
what interests you in that type of music?,i enjoy the different types of instruments that they use.
"yeah, let's do that.","okay, until next time then."
how do you like it so far?,i like it so far. my classes are pretty good right now.
so does mine.,i think it's an old people's smell.
what type of music do you like to listen to?,i like listening to different kinds of music.
Do you have a car?,Yes I am having a car
you're driving too fast.,i'm in a hurry.
"okay, mom, maybe i was picking it a little bit.",use a tissue next time.
"her face is really fat, but they say the swelling will go down.",and then will she look normal again?
don't wipe your nose on your sleeve.,but i don't have a tissue.
Where would you like to transfer money from?,Take it from my savings account.
I was sold a wireless service unavailable in my area.,"I see it here,we charged you $5 extra a month."
because it has great teachers.,what else?
ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.
Please come in,Thank you
How are you doing today?,Great. Thank you.
That is because I'm worried.,What are you worried about?
she did? why didn't anyone tell me?,i would've thought that somebody would have told you.
about finding a job for me.,you don't need a job. i make enough money for both of us.
"Hey,Professor Hill.",What is it?
Do you need anything else?,That's everything.
we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
Can I have your name?,My name is Sarah.
how much are they?,they're only $5 each.
he should act his age.,but a lot of old people are still interested in dating.
Do I have time?,You just have to make time.
look at this sheet.,yes?
do you have a digital tv?,of course. but i don't have cable.
so what have you been up to?,i've just been working a lot.
what a great song.,"how about ""let it be?"""
get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
I started shopping at the dollar store.,That saves a lot of money.
are they comfortable?,they're very comfortable.
that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.
"no, it's earth day.",what's that?
it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
i agree. work is just as hard as school.,sometimes i wish i was back in school.
it gives you money?,i just insert my debit card into the machine.
i think that's an excellent reason to like something.,"thanks, i feel the same way."
the speed limit is 65!,"well, that's between 2:00 and 4:00 a.m."
that's rude.,then he drove too fast to the restaurant.
what happened?,our cousin went into labor and had her baby last week.
i've been to two doctors.,and they couldn't fix your problem?
they never shut up.,why did you get a poodle?
What are you watching?,I'm watching Friends. 
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
what's the matter? this is a nice room.,"maybe the room is nice, but not the bed."
what's on tv?,nothing much.
Dodo birds are extinct.,I'm just messing with you!
I'm thinking of adding another class.,Another one?You already have 7 classes.
Are there any other options?,"Show me proof that you're a student at this college,and you'll be good."
they were in the student parking lot.,how many tires were cut?
She never takes a shower.,That is disgusting!You should tell her to take a shower.
yes. you really deserved this.,you think so?
coffee and a roll?,"no, a real breakfast."
i'm getting married.,"you should be happy, not worried."
i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
"yes, but i love the night air after it rains.",really? why is it?
now you're thinking.,you'd think a library would be safe from thieves.
all you have to do is vote and put a stamp on it.,how easy is that?
i don't know. look in the fridge.,i think i'll make a sandwich.
i teach high school english.,i didn't know that.
it has great schools.,it's close to the mountains.
Why not?I was a good student.,"Yes,you are a good student."
is there a reason why?,i just really don't want to go.
this trail is hard to climb.,especially on a hot day like this.
what's the matter?,"i think i know, because this happened before."
the only thing in my backpack is used books.,but thieves don't know that.
I've always watched the news.,What else did they say about the weekend?
how long did it take?,"four hours, without a break."
a good story is more important than color.,actors didn't curse back then.
they got $1 each.,people stood in line just to get one dollar?!
i'm afraid not.,"it's too far from your job, isn't it?"
tomorrow we'll have rice and fish for lunch.,i can't wait.
i don't know anyone who likes it.,"some of it is okay, i guess."
What seems to be the problem?,None of my wireless devices are connecting to the Wi-Fi.
only two cars can make a left turn every three or four minutes.,we'll be here forever.
there's something wrong with my right hand.,what's wrong with it?
have you heard what happened?,heard what?
it was hot and sunny every day.,what did you do at night?
is that it?,yes. that's all i ever give her.
I'm taking a cooking class.,That sounds interesting.
"number one, it's too slow.",you're right. a car is faster.
"a speeding car ran a red light, killing the girl.",what happened to the other student?
he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow."
why not?,i really can't stand going to parties.
why would i do that?,because men like to cheat.
No wonder you're in such great shape!,You'll be in great shape too after joining a sports club.
my sister had a cold. she gave it to me.,have you taken anything for your cold?
Do you want a sandwich?,"Yes, that sounds nice."
Me too!I would never take Speech 101 if I didn't need it.,"Yeah,I hate public speaking."
How much would you like to transfer?,I would like to transfer $200.
"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
"yes, it was.",they said about 30 houses burned to the ground.
rained out?,"yes, rained out."
i saw what you did.,i didn't do anything.
What did you wash?,I washed the sheets and towels.
because you'll have an accident. most accidents are because people are in a hurry.,how do you know that?
"okay, i give up.","well, there is one good table."
the bread is in the cabinet.,where's the mustard?
friends will lend you money when you're broke.,as long as you pay them back.
i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
"only about $30,000.","without the food stains, it would probably be worth more."
that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?"
Didn't you drive in your country ?,"Yes, but I have to brush up on my driving."
why do you have to think about it?,because a puppy costs money.
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
what do you listen to?,mostly talk radio.
a tutor helped me get the d!,"so, you didn't become a doctor."
now a stamp is 42 cents.,but in may it will be 44 cents.
"yes, i did.",and?
hopefully it will.,how come?
i may know which girl you're talking about.,so you have seen her around?
why not?,"number one, it's too slow."
The doctors told you he would be alright?,"Yes,but they need to keep him for further tests."
my girlfriend and i sit outside starbucks.,that sounds like a good spot.
what kind?,a ham sandwich.
some private organization.,why did they invite him?
doesn't that get old?,"no, because i'm eating food that i like."
even though they're in black and white.,a good story is more important than color.
What is your good name?,My name is bot
I would like to see my counselor now.,"Sorry,she doesn't have any time today."
i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't."
buy a new one.,i would if i had the money.
she's cute.,"okay, so she's not ugly; she's just fat."
How may I help you?,My window that faces the empty lot is broken.
i love you.,"i love you, too."
"he can, but the people around him can't.",how can he still be alive?
shakespeare was a poet.,did he get rich from his poetry?
"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
no. that's incomplete.,what do you mean?
i will as soon as i finish this article.,what are you reading?
i loved it!,did you get free food?
tell me how she looks.,she's kind of short.
thank you.,you shouldn't lie in the sun for too long.
i'll talk to you later.,see you soon.
i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
"no, it's too close to the kitchen door.",how about this table?
i go to pasadena city college.,do you like it?
doing what?,i'm going to dinner with my family.
"so, they do a good job for the money.","yes, they do."
That is crazy!I could never do that.,You should.It is great for the environment.
i'm going to be a teacher.,high school or middle school?
but a house is so expensive.,that's why we need to save money.
What a funny name!,I like it!
i'm serious. you deserved this promotion.,is that what you really think?
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
"oh, no. i forgot.","well, you'd better take it out front."
what do you mean?,our monthly payments will be too high.
pasta is processed food. potatoes are natural food.,natural food has more vitamins.
what are you going to do with them?,i'm going to give them away. do you want one?
You should go to a vocational school instead.,I don't think you understand.
i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
did you see that car?,"yes, he went through the red light."
"oh, look. here's another shirt just like it.",does it have a price tag?
that must be nice.,teaching is the best part of my whole day.
You can join the honors program!,"I did,and it wasn't challenging either."
i love your outfit right now.,"well, i think you look nice today too."
i got them for forty.,i think i might go and find me my own pair of chucks.
because i love the snow.,"yes, the snow is fun."
"yes, it is. but it still looks good.",do you take good care of it?
"she got an ""everything"" job!",what do you mean?
i was sick.,how were you sick?
so do i.,the world needs more polite people like us.
i really want to go to the movies this weekend.,so go then.
"so do i, but i'm worried.",me too. there are no guarantees.
I'll help you.,Thank you.I appreciate it
How are you doing today?,I am fine
i'm glad sunday is only once a week.,i hope god didn't hear that.
what's the matter with the produce?,do you think the bananas fell from the sky?
last year we made a big snowman.,how big was it?
this is a great neighborhood.,"yes, it is."
"Sheis tall,thin,and wears glasses.",What is it with you and girls with glasses?
what's stopping you then?,i don't want to go alone.
"no, it's too close to the front door.",this looks like a nice table.
Does today at 6 p.m. sound okay to you?,I have no problem with 6 p.m.
i like the kinds of instruments that they use.,i think that's an excellent reason to like something.
hold your breath till we get there.,"okay, my seatbelt is on."
yikes! who can remember all that?,you need to get a lot of lessons when you're really young.
of course it does.,"without gravity, the water would go up."
is that right? this is a brand new outfit.,what store did you get it from?
you mean like tiger?,"no, like a good amateur golfer."
"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
"we're hiking to lose weight, not to see goats and bears.",i bet i've lost a couple of pounds already.
"Yeah,actually a lot of them are.",How does she act? 
we won't have any money for other things?,"no, we won't have money for gas or food."
May I get you some water or coffee?,"Sure, thank you."
anything else?,yes. it's not expensive!
so what did he tell you to do?,he said i need to think positive.
"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
when are you going?,during the christmas holidays.
"Excuse me,Can I borrow your fabric softener?","Of course,take as much as you need."
sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatÃ‚â€”cigarettes stink.
What should we wear?,Any dress
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
will you look at this form?,are you having problems with it?
did you make it to school today?,i always do. did you go to school today?
"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.
Here you go.,Thank you very much.
then wait till you find a tissue.,i couldn't wait. it was an emergency.
"that's just the altitude change, i think.","whatever it is, it hurts."
"criminals, of course.","anyway, i have to fix the hole."
i wouldn't do that.,why not?
what happened?,i don't know.
but girls like guys who are funny.,maybe we should learn some good jokes.
it's in a great neighborhood.,it's close to the beach.
there is no crime here.,i wish i could move here.
Why do you say that?,You're old enough to cook dinner.
his doctor says his heart and lungs are strong and healthy.,maybe i should start smoking.
what did you do at night?,at night i went out to eat. the food was delicious.
i had the worst date the other night.,what happened?
could I change my major from biology to political science?,Those majors are very different from each other.
I can't remove the hold even if you pay the overdue fee.,Is it a technical error?
the house burned down.,what happened?
when do you have to be at the airport?,i have to be there two hours early.
what are you talking about?,sunday is mother's day.
Would you like to ask any questions?,I need to know about the fees.
why do you want to move there?,because i want to make a lot of money.
Heard itis supposed to rain.,Where did you hear that from?
What do you mean?,"I mean, it's just coffee."
